temperature,city,pression,date
288.19,Paris,1015,2023-09-19 08:03
289.29,London,1004,2023-09-19 08:03
282.47,Washington,1017,2023-09-19 08:03
288.19,Paris,1015,2023-09-19 08:02
289.29,London,1004,2023-09-19 08:02
282.47,Washington,1017,2023-09-19 08:02
288.19,Paris,1015,2023-09-19 08:01
289.29,London,1004,2023-09-19 08:01
282.47,Washington,1017,2023-09-19 08:01
288.23,Paris,1015,2023-09-19 07:55
289.23,London,1005,2023-09-19 07:55
282.58,Washington,1017,2023-09-19 07:55
288.23,Paris,1015,2023-09-19 07:54
289.23,London,1005,2023-09-19 07:54
282.58,Washington,1017,2023-09-19 07:54
288.23,Paris,1015,2023-09-19 07:53
289.14,London,1005,2023-09-19 07:53
282.58,Washington,1017,2023-09-19 07:53
288.23,Paris,1015,2023-09-19 07:52
289.14,London,1005,2023-09-19 07:52
282.58,Washington,1017,2023-09-19 07:52
287.82,Paris,1015,2023-09-19 07:51
289.14,London,1005,2023-09-19 07:51
282.58,Washington,1017,2023-09-19 07:51
287.82,Paris,1015,2023-09-19 07:49
289.14,London,1005,2023-09-19 07:49
282.58,Washington,1017,2023-09-19 07:49
287.82,Paris,1015,2023-09-19 07:38
289.09,London,1005,2023-09-19 07:38
282.82,Washington,1017,2023-09-19 07:38
287.82,Paris,1015,2023-09-19 07:37
289.09,London,1005,2023-09-19 07:37
282.82,Washington,1017,2023-09-19 07:37
